model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,val_auc,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.01,True,0.0,21,32,0.1,128,True,True,0.6946270686919066,0.9002306805074971,0.1590909090909091,0.25301204819277107,0.1953488372093023,0.6749979931841235,0.7440124750137329,35
blitz,1,0.01,True,0.0,21,32,0.1,128,False,True,0.7698934481976877,0.6597462514417531,0.09046849757673667,0.6746987951807228,0.15954415954415954,0.686250757116899,0.6470469236373901,25
blitz,1,0.01,True,0.0,21,32,0.1,256,True,True,0.7041487191113127,0.8200692041522492,0.10652920962199312,0.37349397590361444,0.1657754010695187,0.651704333992542,0.7338310480117798,25
blitz,1,0.01,True,0.0,21,32,0.1,256,False,True,0.7581047381546134,0.7675893886966552,0.09390862944162437,0.4457831325301205,0.1551362683438155,0.6895346376420278,0.6495048403739929,20
blitz,1,0.01,True,0.0,21,32,0.2,128,True,True,0.7420086148265699,0.7197231833910035,0.09940357852882704,0.6024096385542169,0.1706484641638225,0.6802886895857203,0.6749763488769531,5
blitz,1,0.01,True,0.0,21,32,0.2,128,False,True,0.7215484017229653,0.5847750865051903,0.07248322147651007,0.6506024096385542,0.13043478260869565,0.6882648705056446,0.6493260264396667,25
blitz,1,0.01,True,0.0,21,32,0.2,256,True,True,0.6810813874404896,0.7716262975778547,0.09350649350649351,0.43373493975903615,0.15384615384615388,0.6705465106945043,0.703805148601532,25
blitz,1,0.01,True,0.0,21,32,0.2,256,False,True,0.6837451824982997,0.6089965397923875,0.08157524613220815,0.6987951807228916,0.14609571788413098,0.6992695190209657,0.6531925797462463,20
blitz,1,0.01,True,0.0,21,64,0.1,128,True,True,0.598503740648379,0.9382929642445214,0.16666666666666666,0.07228915662650602,0.10084033613445378,0.6634752212970599,0.7751285433769226,15
blitz,1,0.01,True,0.0,21,64,0.1,128,False,True,0.8102471094989798,0.6101499423298731,0.08415147265077139,0.7228915662650602,0.1507537688442211,0.6862142695555086,0.664184033870697,15
blitz,1,0.01,True,0.0,21,64,0.1,256,True,True,0.6347766946270688,0.8985005767012687,0.12195121951219512,0.18072289156626506,0.14563106796116504,0.6791721702071764,0.7116262912750244,20
blitz,1,0.01,True,0.0,21,64,0.1,256,False,True,0.7594649739288143,0.6337946943483276,0.08054711246200608,0.6385542168674698,0.14304993252361675,0.6892281421263491,0.6556960344314575,20
blitz,1,0.01,True,0.0,21,64,0.2,128,True,True,0.7581047381546134,0.7975778546712803,0.08895705521472393,0.3493975903614458,0.14180929095354522,0.6613078601504746,0.6852662563323975,30
blitz,1,0.01,True,0.0,21,64,0.2,128,False,True,0.719508048061664,0.6349480968858131,0.0858433734939759,0.6867469879518072,0.15261044176706828,0.7003714433749535,0.6457341313362122,25
blitz,1,0.01,True,0.0,21,64,0.2,256,True,True,0.6852187712536839,0.8737024221453287,0.09523809523809523,0.1927710843373494,0.12749003984063745,0.6435238227288318,0.7628533840179443,20
blitz,1,0.01,True,0.0,21,64,0.2,256,False,True,0.6856721831784176,0.7577854671280276,0.09397590361445783,0.46987951807228917,0.1566265060240964,0.6759831573416623,0.6534630060195923,25
blitz,1,0.01,True,0.0,21,128,0.1,128,True,True,0.783722511902063,0.9480968858131488,0.1111111111111111,0.012048192771084338,0.021739130434782608,0.6516751439434297,0.7373946905136108,25
blitz,1,0.01,True,0.0,21,128,0.1,128,False,True,0.6798911811380639,0.7618223760092272,0.09359605911330049,0.4578313253012048,0.1554192229038855,0.6814416965256545,0.6706282496452332,30
blitz,1,0.01,True,0.0,21,128,0.1,256,True,True,0.6807980049875312,0.8552479815455594,0.10377358490566038,0.26506024096385544,0.14915254237288136,0.651609466332927,0.844190239906311,30
blitz,1,0.01,True,0.0,21,128,0.1,256,False,True,0.6980276581274087,0.8414071510957324,0.11290322580645161,0.3373493975903614,0.16918429003021146,0.6712762619223107,0.7833324670791626,10
blitz,1,0.01,True,0.0,21,128,0.2,128,True,True,0.6671389707549309,0.8229527104959631,0.1111111111111111,0.3855421686746988,0.17250673854447438,0.6765815533484636,0.6843442916870117,25
blitz,1,0.01,True,0.0,21,128,0.2,128,False,True,0.6835184765359329,0.4100346020761246,0.0599250936329588,0.7710843373493976,0.11120764552562988,0.6553895776929645,0.6922307014465332,5
blitz,1,0.01,True,0.0,21,128,0.2,256,True,True,0.6716164135116753,0.7970011534025375,0.09850746268656717,0.39759036144578314,0.15789473684210525,0.662927907876205,0.7696572542190552,35
blitz,1,0.01,True,0.0,21,128,0.2,256,False,True,0.7110632509635004,0.4740484429065744,0.06322444678609063,0.7228915662650602,0.11627906976744186,0.6863310297519576,0.6524722576141357,35
blitz,1,0.01,True,0.0,22,32,0.1,128,True,True,0.7340739061437316,0.8869665513264129,0.13071895424836602,0.24096385542168675,0.16949152542372883,0.6507045748104472,0.7149316668510437,25
