model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.01,False,0.0,21,32,0.1,128,True,True,0.12121212121212122,0.12121212121212122,0.24096385542168675,0.16129032258064516,0.6572066582502025,0.7349725961685181,35
blitz,1,0.01,False,0.0,21,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.5958053899425686,0.19528250396251678,0
blitz,1,0.01,False,0.0,21,32,0.1,128,False,True,0.09778597785977859,0.09778597785977859,0.6385542168674698,0.1696,0.695905365860778,0.6459336876869202,25
blitz,1,0.01,False,0.0,21,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.48778761320265923,0.20859649777412415,0
blitz,1,0.01,False,0.0,21,64,0.1,128,True,True,0.11594202898550725,0.11594202898550725,0.0963855421686747,0.10526315789473685,0.6654309545875811,0.916702389717102,15
blitz,1,0.01,False,0.0,21,64,0.1,128,True,False,0.0,0.0,0.0,0.0,0.5601497449519458,0.21986046433448792,0
blitz,1,0.01,False,0.0,21,64,0.1,128,False,True,0.06321839080459771,0.06321839080459771,0.7951807228915663,0.11712511091393081,0.6888997540738363,0.6770099401473999,15
blitz,1,0.01,False,0.0,21,64,0.1,128,False,False,0.0,0.0,0.0,0.0,0.5170506374376975,0.1964850276708603,0
blitz,1,0.01,False,0.0,21,128,0.1,128,True,True,0.11061946902654868,0.11061946902654868,0.30120481927710846,0.16181229773462785,0.6787051294213802,0.8071832656860352,25
blitz,1,0.01,False,0.0,21,128,0.1,128,True,False,0.0,0.0,0.0,0.0,0.5508381192851357,0.21796879172325134,25
blitz,1,0.01,False,0.0,21,128,0.1,128,False,True,0.09782608695652174,0.09782608695652174,0.43373493975903615,0.15964523281596452,0.6713492370450913,0.7093588709831238,30
blitz,1,0.01,False,0.0,21,128,0.1,128,False,False,0.0,0.0,0.0,0.0,0.4814752650821335,0.28638991713523865,0
blitz,1,0.01,False,0.0,22,32,0.1,128,True,True,0.08021390374331551,0.08021390374331551,0.5421686746987951,0.13975155279503107,0.6434435500937731,0.7316086292266846,25
