model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f1,auc_roc,test_loss,ga_mean,ga_std,ga_min,ga_max
blitz,1,0.001,True,0.0,21,128,0.1,128,True,True,0.12546125461254612,0.12546125461254612,0.40963855421686746,0.192090395480226,0.7015828304131122,0.6785189509391785,0.12,0.32,0.0,1.0
blitz,1,0.001,True,0.0,21,128,0.1,128,True,True,0.12546125461254612,0.12546125461254612,0.40963855421686746,0.192090395480226,0.7015828304131122,0.6785189509391785,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.0,21,128,0.1,128,True,True,0.12546125461254612,0.12546125461254612,0.40963855421686746,0.192090395480226,0.7015828304131122,0.6785189509391785,0.14,0.35,0.0,1.0
blitz,1,0.001,True,0.0,21,128,0.1,128,True,True,0.12546125461254612,0.12546125461254612,0.40963855421686746,0.192090395480226,0.7015828304131122,0.6785189509391785,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.0,21,128,0.1,128,True,True,0.12546125461254612,0.12546125461254612,0.40963855421686746,0.192090395480226,0.7015828304131122,0.6785189509391785,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,True,0.14732142857142858,0.14732142857142858,0.39759036144578314,0.21498371335504887,0.7123758510723694,0.6669094562530518,0.02,0.14,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,True,0.14732142857142858,0.14732142857142858,0.39759036144578314,0.21498371335504887,0.7123758510723694,0.6669094562530518,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,True,0.14732142857142858,0.14732142857142858,0.39759036144578314,0.21498371335504887,0.7123758510723694,0.6669094562530518,0.02,0.14,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,True,0.14732142857142858,0.14732142857142858,0.39759036144578314,0.21498371335504887,0.7123758510723694,0.6669094562530518,0.06,0.24,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,True,0.14732142857142858,0.14732142857142858,0.39759036144578314,0.21498371335504887,0.7123758510723694,0.6669094562530518,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.0,23,128,0.1,128,True,True,0.171875,0.171875,0.26506024096385544,0.2085308056872038,0.6943364007209942,0.724248468875885,0.06,0.24,0.0,1.0
blitz,1,0.001,True,0.0,23,128,0.1,128,True,True,0.171875,0.171875,0.26506024096385544,0.2085308056872038,0.6943364007209942,0.724248468875885,0.06,0.24,0.0,1.0
blitz,1,0.001,True,0.0,23,128,0.1,128,True,True,0.171875,0.171875,0.26506024096385544,0.2085308056872038,0.6943364007209942,0.724248468875885,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,23,128,0.1,128,True,True,0.171875,0.171875,0.26506024096385544,0.2085308056872038,0.6943364007209942,0.724248468875885,0.1,0.3,0.0,1.0
blitz,1,0.001,True,0.0,23,128,0.1,128,True,True,0.171875,0.171875,0.26506024096385544,0.2085308056872038,0.6943364007209942,0.724248468875885,0.1,0.3,0.0,1.0
blitz,1,0.001,True,0.0,25,128,0.1,128,True,True,0.12251655629139073,0.12251655629139073,0.4457831325301205,0.19220779220779222,0.7099530769960521,0.640325665473938,0.02,0.14,0.0,1.0
blitz,1,0.001,True,0.0,25,128,0.1,128,True,True,0.12251655629139073,0.12251655629139073,0.4457831325301205,0.19220779220779222,0.7099530769960521,0.640325665473938,0.1,0.3,0.0,1.0
