model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f1,auc_roc,test_loss,ga_mean,ga_std,ga_min,ga_max
blitz,1,0.001,True,0.0,21,128,0.1,128,True,True,0.18579234972677597,0.18579234972677597,0.40963855421686746,0.25563909774436094,0.7193960578838675,0.8065832257270813,0.12,0.32,0.0,1.0
blitz,1,0.001,True,0.0,21,128,0.1,128,True,False,0.0,0.0,0.0,0.0,0.6776907752147293,0.1943528801202774,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.0,21,128,0.1,128,False,True,0.16117216117216118,0.16117216117216118,0.5301204819277109,0.24719101123595508,0.7253873154641584,0.7108688354492188,0.16,0.37,0.0,1.0
blitz,1,0.001,True,0.0,21,128,0.1,128,False,False,0.0,0.0,0.0,0.0,0.6736479534126816,0.1893637329339981,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,True,0.17525773195876287,0.17525773195876287,0.40963855421686746,0.2454873646209386,0.7363627739303672,0.7583525776863098,0.12,0.32,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7289922865295221,0.17883677780628204,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,False,True,0.11060948081264109,0.11060948081264109,0.5903614457831325,0.18631178707224336,0.733961892390884,0.6508374810218811,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,22,128,0.1,128,False,False,0.0,0.0,0.0,0.0,0.7058883626571703,0.18490180373191833,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,23,128,0.1,128,True,True,0.23,0.23,0.27710843373493976,0.25136612021857924,0.7221107324513073,0.9464507699012756,0.12,0.32,0.0,1.0
blitz,1,0.001,True,0.0,23,128,0.1,128,True,False,0.0,0.0,0.0,0.0,0.724102953303219,0.17811962962150574,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.0,23,128,0.1,128,False,True,0.13392857142857142,0.13392857142857142,0.5421686746987951,0.21479713603818618,0.7223515503564836,0.6998066902160645,0.12,0.32,0.0,1.0
blitz,1,0.001,True,0.0,23,128,0.1,128,False,False,0.0,0.0,0.0,0.0,0.6990432961403458,0.1835019737482071,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.5,21,128,0.1,128,True,True,0.13214285714285715,0.13214285714285715,0.4457831325301205,0.20385674931129477,0.707909773558194,0.6912615299224854,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.5,21,128,0.1,128,True,False,0.2571428571428571,0.2571428571428571,0.10843373493975904,0.15254237288135594,0.707457327796954,0.2065081149339676,0.16,0.37,0.0,1.0
