model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f1,auc_roc,test_loss,ga_mean,ga_std,ga_min,ga_max
blitz,1,0.001,True,0.0,21,32,0.1,128,True,True,0.14414414414414414,0.14414414414414414,0.3855421686746988,0.2098360655737705,0.6981092145687535,0.7506296038627625,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.0,21,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.6307312837053849,0.19099463522434235,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,21,32,0.1,128,False,True,0.11494252873563218,0.11494252873563218,0.4819277108433735,0.18561484918793505,0.6994373618033612,0.6686986088752747,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,21,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.5786343435522829,0.19893768429756165,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.0,22,32,0.1,128,True,True,0.1336405529953917,0.1336405529953917,0.3493975903614458,0.19333333333333336,0.7035239686790773,0.6896569132804871,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,22,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.6703275853261623,0.18712517619132996,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.0,22,32,0.1,128,False,True,0.09898989898989899,0.09898989898989899,0.5903614457831325,0.16955017301038064,0.6895930177402523,0.6428322196006775,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.0,22,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.6317456379120359,0.19352388381958008,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,23,32,0.1,128,True,True,0.13636363636363635,0.13636363636363635,0.3614457831325301,0.198019801980198,0.7114125794516649,0.7270113229751587,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.0,23,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.6614684054205922,0.18757246434688568,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.0,23,32,0.1,128,False,True,0.10512820512820513,0.10512820512820513,0.4939759036144578,0.1733615221987315,0.7120693555566907,0.6564417481422424,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.0,23,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.6091744324359826,0.19730088114738464,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.5,21,32,0.1,128,True,True,0.13392857142857142,0.13392857142857142,0.3614457831325301,0.19543973941368076,0.6978610991512992,0.7131766080856323,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.5,21,32,0.1,128,True,False,0.15476190476190477,0.15476190476190477,0.1566265060240964,0.15568862275449102,0.6906657520451278,0.2693037688732147,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.5,21,32,0.1,128,False,True,0.07678244972577697,0.07678244972577697,0.5060240963855421,0.13333333333333333,0.6673210102675998,0.6567655801773071,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.5,21,32,0.1,128,False,False,0.10569105691056911,0.10569105691056911,0.3132530120481928,0.1580547112462006,0.659862952719418,0.4294797480106354,0.12,0.32,0.0,1.0
blitz,1,0.001,True,0.5,22,32,0.1,128,True,True,0.12130177514792899,0.12130177514792899,0.4939759036144578,0.19477434679334915,0.6884473083125963,0.6991287469863892,0.04,0.2,0.0,1.0
blitz,1,0.001,True,0.5,22,32,0.1,128,True,False,0.10897435897435898,0.10897435897435898,0.20481927710843373,0.14225941422594143,0.6861850795063963,0.3224775195121765,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.5,22,32,0.1,128,False,True,0.08,0.08,0.5783132530120482,0.14055636896046855,0.6723198061780739,0.6510462760925293,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.5,22,32,0.1,128,False,False,0.09486166007905138,0.09486166007905138,0.2891566265060241,0.14285714285714285,0.6666934242116862,0.4266728162765503,0.08,0.27,0.0,1.0
blitz,1,0.001,True,0.5,23,32,0.1,128,True,True,0.1070110701107011,0.1070110701107011,0.3493975903614458,0.1638418079096045,0.6954310275627038,0.7140700221061707,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.5,23,32,0.1,128,True,False,0.14414414414414414,0.14414414414414414,0.1927710843373494,0.1649484536082474,0.6832222895215021,0.31228333711624146,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.5,23,32,0.1,128,False,True,0.09556313993174062,0.09556313993174062,0.6746987951807228,0.16741405082212257,0.6766691234958003,0.6622464060783386,0.0,0.0,0.0,0.0
blitz,1,0.001,True,0.5,23,32,0.1,128,False,False,0.1015625,0.1015625,0.3132530120481928,0.15339233038348082,0.6515802762838148,0.4301103949546814,0.0,0.0,0.0,0.0
blitz,1,0.001,True,1.0,21,32,0.1,128,True,True,0.09855072463768116,0.09855072463768116,0.40963855421686746,0.15887850467289721,0.6722906161289616,0.711488664150238,0.08,0.27,0.0,1.0
blitz,1,0.001,True,1.0,21,32,0.1,128,True,False,0.09855072463768116,0.09855072463768116,0.40963855421686746,0.15887850467289721,0.6722906161289616,0.4762076437473297,0.08,0.27,0.0,1.0
