#{"t_start": 1635085209.065227, "env_id": null}
r,l,t,is_success
-77.350832,100,1.687186,0
-47.854523,100,13.880741,0
-30.865866,100,25.043914,0
-61.132318,100,37.186551,0
-63.859924,100,48.803842,0
-59.307789,100,59.681,0
-49.220482,100,70.524177,0
-47.05591,100,81.561297,0
-39.442418,100,92.482079,0
-65.847832,100,103.434004,0
-47.44306,100,114.20795,0
-17.912383,29,117.494031,0
-30.567366,100,128.449999,0
-54.901509,100,139.27336,0
-42.063665,100,150.257389,0
-33.335284,100,162.387803,0
-52.565185,100,173.050939,0
-46.38614,100,183.970333,0
-14.038809,27,187.017734,0
-34.525176,100,198.102531,0
-17.678916,21,200.555067,0
-13.826966,23,203.575866,0
-45.446114,100,214.339528,0
-44.038446,100,225.359224,0
-66.936875,100,236.369137,0
-44.189482,100,247.822815,0
-55.014577,100,258.436939,0
-53.665816,100,269.374519,0
-32.293406,100,280.439619,0
-39.730187,100,291.531359,0
-11.212187,15,293.307332,0
-40.52368,100,304.412991,0
-19.250936,30,307.982112,0
-10.777753,18,310.002365,0
-53.089638,100,321.662866,0
-29.559764,100,332.740597,0
-18.462386,36,336.75001,0
-28.217445,100,347.773341,0
-46.505922,100,358.440717,0
-44.932823,100,369.955749,0
-12.156616,19,372.039239,0
-33.531394,100,383.524428,0
-29.553919,100,394.500202,0
-11.538779,21,396.931661,0
-36.654605,100,408.172777,0
-44.558737,100,418.840455,0
-32.340656,100,430.1587,0
-32.038721,100,442.10829,0
-61.814755,100,452.917654,0
-43.190961,100,463.770415,0
-30.418374,100,474.439213,0
-23.303168,100,485.323402,0
-20.001063,100,496.86952,0
-27.941525,100,508.243003,0
-26.340207,100,519.057007,0
-22.949779,100,530.391943,0
-13.899074,22,533.003435,0
-23.103419,100,544.720153,0
-31.27671,100,556.073118,0
-37.322607,100,567.093923,0
-19.185512,100,578.03447,0
-32.949558,100,589.928094,0
-40.851886,100,600.536632,0
-24.949556,68,608.410743,0
-9.089173,20,610.73379,0
-26.788622,100,621.442245,0
-38.280578,100,632.447098,0
-46.274747,100,643.317413,0
-13.372583,29,646.600479,0
-25.562868,100,657.594444,0
-42.292867,100,668.77843,0
-25.384156,100,680.782345,0
-4.725592,16,682.924574,1
-79.023955,100,694.235186,0
-30.666216,100,706.420259,0
-38.569382,100,718.236344,0
-24.242173,100,729.907572,0
-32.618556,100,742.567788,0
-18.131252,31,746.384937,0
-10.103197,13,748.051435,0
-20.574507,100,760.465738,0
-23.406973,100,772.796489,0
-10.229417,41,778.377681,1
-30.956376,100,790.825241,0
-54.035059,100,803.222732,0
-21.970946,100,815.530795,0
-26.878786,100,828.280867,0
-27.935789,100,840.346484,0
-30.110236,100,853.010666,0
-30.938854,64,861.498935,0
-45.06608,100,873.525855,0
-7.782576,12,875.18272,0
-18.908975,100,887.705717,0
-31.087597,100,900.100649,0
-9.142243,12,901.601558,0
-8.010996,41,906.820307,1
-32.036249,100,918.893679,0
-27.852244,100,930.959788,0
-21.359819,100,943.050549,0
-27.33903,100,955.11696,0
-34.031215,100,967.155497,0
-80.28662,100,979.192568,0
-19.737286,100,991.321714,0
-8.719104,12,992.901362,0
-62.575858,100,1005.317753,0
-21.473564,100,1017.500405,0
-22.086105,100,1030.335939,0
-20.526526,100,1043.349469,0
-4.235157,26,1046.574327,1
-17.603822,30,1050.476352,0
-26.845237,100,1063.012784,0
-28.591412,100,1075.248748,0
-57.332762,100,1087.317109,0
-15.678859,53,1094.461625,1
-9.991393,44,1099.979073,1
-24.624828,100,1112.087313,0
-10.097974,11,1113.510474,0
-14.517748,68,1122.103339,1
-28.608798,100,1134.49934,0
-31.668099,100,1146.706853,0
-19.990113,100,1159.355919,0
-6.438625,21,1161.954666,1
-19.832027,100,1174.580071,0
-8.679666,10,1175.991974,0
-10.219334,64,1184.14177,1
-8.63552,10,1185.420268,0
-21.976224,100,1197.738474,0
-22.531451,100,1210.048648,0
-22.610895,100,1223.291686,0
-30.718354,100,1236.534636,0
-26.911214,100,1248.668703,0
-32.071063,100,1261.924811,0
-12.407673,16,1264.12891,0
-23.807086,100,1276.460625,0
-8.738677,37,1281.203954,1
-10.982042,19,1283.922731,0
-11.904845,22,1287.040516,0
-4.74031,15,1288.941265,1
-13.319126,48,1294.955125,1
-31.476948,100,1307.065706,0
-22.289576,100,1319.484838,0
-24.542696,100,1331.558108,0
-18.178755,100,1343.991163,0
-9.56574,12,1345.544227,0
-15.225765,21,1348.204827,0
-8.883347,13,1350.023235,0
-29.486679,100,1362.272267,0
-28.530046,100,1374.663829,0
-19.278026,100,1386.845343,0
-9.279846,11,1388.299107,0
-23.517572,100,1400.521197,0
-15.076752,100,1412.700592,0
-13.367217,21,1415.337431,0
-19.986267,47,1421.217079,0
-29.78744,100,1433.249363,0
-5.328899,18,1435.462688,1
-28.200748,100,1448.068757,0
-17.829981,100,1460.318906,0
-30.401597,100,1472.503424,0
-15.967268,100,1485.066786,0
-16.139285,33,1489.136098,0
-21.057426,100,1501.505143,0
-9.413495,13,1503.314168,0
-14.89629,22,1506.203521,0
-44.427116,100,1518.275763,0
-15.889918,100,1530.78971,0
-12.499175,24,1534.232163,0
-26.040495,100,1546.811195,0
-26.346401,100,1559.632181,0
-15.838369,45,1565.973686,1
-25.519366,100,1578.140072,0
-22.562371,100,1591.427939,0
-9.970721,16,1593.585711,0
-5.773086,25,1596.974016,1
-19.44695,93,1608.826226,1
-4.49404,17,1611.067708,1
-11.847464,16,1613.246634,0
-28.576471,100,1625.654818,0
-4.231002,16,1627.652643,1
-9.45762,33,1631.850628,1
-4.043628,17,1633.974451,1
-21.512457,100,1646.779964,0
-18.365705,100,1659.127218,0
-6.363485,20,1661.704423,1
-7.844247,9,1662.920192,0
-38.239068,100,1675.24081,0
-28.13205,100,1687.539233,0
-21.066643,100,1700.200191,0
-16.682768,100,1713.97163,0
-16.018695,22,1716.933662,0
-25.957246,100,1728.99852,0
-8.177705,30,1733.036376,1
-21.624889,100,1745.493451,0
-17.274547,100,1757.701898,0
-15.528443,48,1764.208861,1
-20.073037,100,1776.846976,0
-10.854087,48,1783.283858,1
-13.356871,26,1786.817468,0
-19.333648,100,1798.921915,0
-24.38493,100,1811.281511,0
-14.837444,32,1815.460113,0
-24.946568,100,1827.579322,0
-13.306283,40,1832.443946,1
-12.861353,41,1837.864013,0
-10.581684,20,1840.419079,0
-24.705861,100,1852.597219,0
-23.249155,100,1864.787874,0
-22.292917,100,1877.16787,0
-17.199149,100,1889.390881,0
-14.682181,53,1895.856923,1
-4.771085,22,1898.624895,1
-5.702976,26,1902.154725,1
-9.557745,35,1906.421692,1
-19.082803,100,1918.709266,0
-8.624363,36,1923.253401,1
-9.780544,16,1925.316951,0
-9.391038,39,1930.353178,1
